127.0.0.1, 2014-07-21 23:14:47, GET, /welcome/static/css/web2py.css, HTTP/1.1, 304, 0.001058
127.0.0.1, 2014-07-21 23:14:47, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.004043
127.0.0.1, 2014-07-21 23:14:47, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.003791
127.0.0.1, 2014-07-21 23:14:47, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.001049
127.0.0.1, 2014-07-21 23:14:47, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.004517
127.0.0.1, 2014-07-21 23:14:47, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000628
127.0.0.1, 2014-07-21 23:14:47, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.007816
127.0.0.1, 2014-07-21 23:14:47, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001506
127.0.0.1, 2014-07-21 23:14:47, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.001530
127.0.0.1, 2014-07-21 23:14:47, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000576
127.0.0.1, 2014-07-21 23:14:48, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.000649
127.0.0.1, 2014-07-21 23:14:48, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.000758
127.0.0.1, 2014-07-21 23:14:48, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.000494
127.0.0.1, 2014-07-21 23:14:55, GET, /listemAlpha/default/sep, HTTP/1.1, 500, 3.171966
127.0.0.1, 2014-07-21 23:14:56, GET, /favicon.ico, HTTP/1.1, 400, 0.000274
127.0.0.1, 2014-07-21 23:14:57, GET, /admin/default/ticket/listemAlpha/127.0.0.1.2014-07-21.23-14-52.be2a67ad-e114-45ed-9628-1e247901340b, HTTP/1.1, 200, 0.199122
127.0.0.1, 2014-07-21 23:14:58, GET, /admin/static/images/help.png, HTTP/1.1, 304, 0.000559
127.0.0.1, 2014-07-21 23:14:58, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000564
127.0.0.1, 2014-07-21 23:14:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000425
127.0.0.1, 2014-07-21 23:15:26, GET, /, HTTP/1.1, 303, 0.003289
127.0.0.1, 2014-07-21 23:15:26, GET, /welcome/default/index, HTTP/1.1, 200, 0.122096
127.0.0.1, 2014-07-21 23:15:32, GET, /listemAlpha/default/sep, HTTP/1.1, 500, 2.471701
127.0.0.1, 2014-07-21 23:15:32, GET, /favicon.ico, HTTP/1.1, 400, 0.000418
127.0.0.1, 2014-07-21 23:15:34, GET, /admin/default/ticket/listemAlpha/127.0.0.1.2014-07-21.23-15-30.64aeeb8b-570e-4f72-98ce-90df1fba2f2a, HTTP/1.1, 200, 0.173315
